Phase,Week,Task,Deliverable,Type,Status,Due_Date,Notes
PHASE 2: STATISTICAL MODELING (Weeks 5-12),6,2.4 Develop Regression-Based AABPI (Formula 3),Formula3_Interaction_Plot.png,Output,Not Started,Week 6,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),6,2.5 Compare Three AABPI Formulas,Formula_Comparison_Table.csv,Output,Not Started,Week 6,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),6,2.5 Compare Three AABPI Formulas,ROC_Curves.png,Output,Not Started,Week 6,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),6,2.5 Compare Three AABPI Formulas,NRI_IDI_Results.txt,Output,Not Started,Week 6,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),7,2.6 Prepare for SPRINT Data Integration,SPRINT_Data_Dictionary.csv,Output,Not Started,Week 7,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),7,2.6 Prepare for SPRINT Data Integration,SPRINT_Ready_for_Analysis.txt (or 'Pending'),Output,Not Started,Week 7,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),7,2.7 Analyze SPRINT Data (if available),SPRINT_KM_Curves.png,Output,Not Started,Week 7,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),7,2.7 Analyze SPRINT Data (if available),SPRINT_Cox_Results.csv,Output,Not Started,Week 7,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),8,2.8 Sensitivity & Subgroup Analyses,Subgroup_Analysis_Table.csv,Output,Not Started,Week 8,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),8,2.8 Sensitivity & Subgroup Analyses,Forest_Plot_Subgroups.png,Output,Not Started,Week 8,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,Risk_Surface_Plot.png,Output,Not Started,Week 9,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,Traffic_Light_Visualization.png,Output,Not Started,Week 9,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,Patient_Card_Examples.png,Output,Not Started,Week 9,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),PREVENT_Comparison.csv,Output,Not Started,Week 10,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),PREVENT_vs_AABPI_Comparison.png,Output,Not Started,Week 10,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),NRI_vs_PREVENT.txt,Output,Not Started,Week 10,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,Reclassification_Matrix.csv,Output,Not Started,Week 11,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,Reclassification_Analysis.txt,Output,Not Started,Week 11,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,Final_Model_Selection_Rationale.txt,Output,Not Started,Week 12,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,Model_Coefficients_Final.csv,Output,Not Started,Week 12,
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,Modeling_Report.md,Output,Not Started,Week 12,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.1 Design Calculator Interface (Mockup),Calculator_Wireframe.png/pdf,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.1 Design Calculator Interface (Mockup),Style_Guide.md,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),app.py,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),models.py,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),utils.py,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),Backend_Tests.py,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),index.html,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),about.html,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),results.html,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),style.css,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),script.js,Output,Not Started,Week 13,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,Working Local App,Document,Not Started,Week 14,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,Integration_Test_Log.txt,Output,Not Started,Week 14,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,report_generator.py,Output,Not Started,Week 14,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,Report_Template.html,Output,Not Started,Week 14,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,Visualization_Functions.py,Output,Not Started,Week 14,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,about.html,Output,Not Started,Week 15,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,learn.html,Output,Not Started,Week 15,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,disclaimer.html,Output,Not Started,Week 15,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,privacy.html,Output,Not Started,Week 15,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,User_Guide.pdf,Output,Not Started,Week 15,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),Test_Results_Report.md,Output,Not Started,Week 15,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),Bug_Log.csv,Output,Not Started,Week 15,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),QA_Checklist_Completed.txt,Output,Not Started,Week 15,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),requirements.txt,Output,Not Started,Week 16,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),Procfile,Document,Not Started,Week 16,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),Live_App_URL.txt,Output,Not Started,Week 16,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,README.md,Output,Not Started,Week 16,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,DEPLOYMENT.md,Output,Not Started,Week 16,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,CONTRIBUTING.md,Output,Not Started,Week 16,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,CHANGELOG.md,Output,Not Started,Week 16,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.10 Create Demo Video & Screen Recording,Demo_Video_Link.txt,Output,Not Started,Week 16,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.10 Create Demo Video & Screen Recording,Screenshots/,Document,Not Started,Week 16,
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.10 Create Demo Video & Screen Recording,Captions.vtt,Output,Not Started,Week 16,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),17,4.1 Prepare Test/Validation Set,Test_Set_Performance_Metrics.csv,Output,Not Started,Week 17,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),17,4.2 External Validation (If SPRINT/UK Biobank Available),External_Validation_Results.csv,Output,Not Started,Week 17,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),17,4.2 External Validation (If SPRINT/UK Biobank Available),Calibration_Plot.png,Output,Not Started,Week 17,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),18,4.3 Start Manuscript Writing (Methods & Results),Manuscript_Draft_Methods_Results.docx/pdf,Output,Not Started,Week 18,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.4 Write Introduction & Discussion,Manuscript_Full_Draft.docx/pdf,Output,Not Started,Week 19,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.4 Write Introduction & Discussion,Abstract.txt,Output,Not Started,Week 19,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,Manuscript_Rev1.docx/pdf,Output,Not Started,Week 19,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,Reviewer_Comments.txt,Output,Not Started,Week 19,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,Formatted_Manuscript.pdf,Output,Not Started,Week 20,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,Cover_Letter.docx,Output,Not Started,Week 20,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,Highlights.txt,Output,Not Started,Week 20,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.7 Submit Manuscript to Journal #1,Submission_Confirmation_Email.pdf,Output,Not Started,Week 20,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.7 Submit Manuscript to Journal #1,Manuscript_ID.txt,Output,Not Started,Week 20,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,AHA_Abstract.txt,Output,Not Started,Week 21,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,ASN_Abstract.txt,Output,Not Started,Week 21,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,Conference_Timeline.md,Output,Not Started,Week 21,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,AHA_Submission_Confirmation.pdf,Output,Not Started,Week 21,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,ASN_Submission_Confirmation.pdf,Output,Not Started,Week 21,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),AAHRC_Presentation.pptx,Output,Not Started,Week 22,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),Speaker_Notes.docx,Output,Not Started,Week 22,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),Revision_Strategy_Plan.txt,Output,Not Started,Week 23,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,Supplementary_Materials.pdf,Output,Not Started,Week 23,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,GitHub_repo,Document,Not Started,Week 23,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,Interactive_Supplement.html,Output,Not Started,Week 23,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,Final_Project_Report.pdf,Output,Not Started,Week 24,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,Project_Summary.docx,Output,Not Started,Week 24,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,Lessons_Learned.txt,Output,Not Started,Week 24,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,Dissemination_Plan.md,Output,Not Started,Week 24,
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,Phase2_Study_Proposal.docx,Output,Not Started,Week 24,
